crdb;brand;folder;name;seasons;name_source;seasons_source;prestige_cup_info;remark
Porsche_959_1988;Porsche;Porsche 959;Porsche 959;;repository;;;
Porsche_962C_1987;Porsche;Porsche 962 C;Porsche 962 C;;repository;;;
Porsche_963LMDh_2023;Porsche;Porsche 963;Porsche 963;;repository;;;
Porsche_Bisimoto935K3V_1984;Porsche;Porsche Bisimoto 935 K3V;Porsche Bisimoto 935 K3V;;repository;;;
Porsche_Canepa959_1988;Porsche;Porsche 959 SC;Porsche 959 SC;;repository;;;
Porsche_CarreraGTClassic_2003;Porsche;Porsche Carrera GT;Porsche Carrera GT;;repository;;;
Porsche_CayenneTurboGTReward_2022;Porsche;Porsche Cayenne Turbo S;Porsche Cayenne Turbo S;156;repository;repository;;
Porsche_CayenneTurboGTRewardRecycled_2022;Porsche;Porsche Cayenne Turbo S;Porsche Cayenne Turbo S;156;repository;repository;;
Porsche_CaymanGT4_2016;Porsche;Porsche 718 Cayman;Porsche 718 Cayman;;repository;;;
Porsche_CaymanGT4Salzburg_2016;Porsche;Porsche Cayman GT4 'Salzburg';Porsche Cayman GT4 'Salzburg';;repository;;;
